"A48.0","Gas gangrene",,,"-","Tidak Menular"
"A48.1","Legionnaires\' disease",,,"-","Tidak Menular"
"A48.2","Nonpneumonic legionnaires\' disease [pontiac fever]",,,"-","Tidak Menular"
"A48.3","Toxic shock syndrome",,,"-","Tidak Menular"
"A48.4","Brazilian purpuric fever",,,"-","Tidak Menular"
"A48.8","Other specified bacterial diseases",,,"-","Tidak Menular"
"A49","Bacterial infection of unspecified site",,,"-","Tidak Menular"
"A49.0","Staphylococcal infection, unspecified",,,"-","Tidak Menular"
"A49.1","Streptococcal infection, unspecified",,,"-","Tidak Menular"
"A49.2","Haemophilus influenzae infection, unspecified",,,"-","Tidak Menular"
"A49.3","Mycoplasma infection, unspecified",,,"-","Tidak Menular"
"A49.8","Other bacterial infections of unspecified site",,,"-","Tidak Menular"
"A49.9","Bacterial infection, unspecified",,,"-","Tidak Menular"
"A50","Congenital syphilis",,,"-","Tidak Menular"
"A50.0","Early congenital syphilis, symptomatic",,,"-","Tidak Menular"
"A50.1","Early congenital syphilis, latent",,,"-","Tidak Menular"
"A50.2","Early congenital syphilis, unspecified",,,"-","Tidak Menular"
"A50.3","Late congenital syphilitic oculopathy",,,"-","Tidak Menular"
"A50.4","Late congenital neurosyphilis [juvenile neurosyphilis]",,,"-","Tidak Menular"
"A50.5","Other late congenital syphilis, symptomatic",,,"-","Tidak Menular"
"A50.6","Late congenital syphilis, latent",,,"-","Tidak Menular"
"A50.7","Late congenital syphilis, unspecified",,,"-","Tidak Menular"
"A50.9","Congenital syphilis, unspecified",,,"-","Tidak Menular"
"A51","Early syphilis",,,"-","Tidak Menular"
"A51.0","Primary genital syphilis",,,"-","Tidak Menular"
"A51.1","Primary anal syphilis",,,"-","Tidak Menular"
"A51.2","Primary syphilis of other sites",,,"-","Tidak Menular"
"A51.3","Secondary syphilis of skin and mucous membranes",,,"-","Tidak Menular"
"A51.4","Other secondary syphilis",,,"-","Tidak Menular"
"A51.5","Early syphilis, latent",,,"-","Tidak Menular"
"A51.9","Early syphilis, unspecified",,,"-","Tidak Menular"
"A52","Late syphilis",,,"-","Tidak Menular"
"A52.0","Cardiovascular syphilis",,,"-","Tidak Menular"
"A52.1","Symptomatic neurosyphilis",,,"-","Tidak Menular"
"A52.2","Asymptomatic neurosyphilis",,,"-","Tidak Menular"
"A52.3","Neurosyphilis, unspecified",,,"-","Tidak Menular"
"A52.7","Other symptomatic late syphilis",,,"-","Tidak Menular"
"A52.8","Late syphilis, latent",,,"-","Tidak Menular"
"A52.9","Late syphilis, unspecified",,,"-","Tidak Menular"
"A53","Other and unspecified syphilis",,,"-","Tidak Menular"
"A53.0","Latent syphilis, unspecified as early or late",,,"-","Tidak Menular"
"A53.9","Syphilis, unspecified",,,"-","Tidak Menular"
"A54","Gonococcal infection",,,"-","Tidak Menular"
"A54.0","Gonococcal infection lower genitourinary tract without periurethral  accessory gland abscess",,,"-","Tidak Menular"
"A54.1","Gonococcal infection lower genitourinary tract with periurethral  accessory gland abscess",,,"-","Tidak Menular"
"A54.2","Gonococcal pelviperitonitis and other gonococcal genitourinary infections",,,"-","Tidak Menular"
"A54.3","Gonococcal infection of eye",,,"-","Tidak Menular"
"A54.4","Gonococcal infection of musculoskeletal system",,,"-","Tidak Menular"
"A54.5","Gonococcal pharyngitis",,,"-","Tidak Menular"
"A54.6","Gonococcal infection of anus and rectum",,,"-","Tidak Menular"
"A54.8","Other gonococcal infections",,,"-","Tidak Menular"
"A54.9","Gonococcal infection, unspecified",,,"-","Tidak Menular"
"A55","Chlamydial lymphogranuloma (venereum)",,,"-","Tidak Menular"
"A56","Other sexually transmitted chlamydial diseases",,,"-","Tidak Menular"
"A56.0","Chlamydial infection of lower genitourinary tract",,,"-","Tidak Menular"
"A56.1","Chlamydial infection of pelviperitoneum other genitourinary organs",,,"-","Tidak Menular"
"A56.2","Chlamydial infection of genitourinary tract, unspecified",,,"-","Tidak Menular"
"A56.3","Chlamydial infection of anus and rectum",,,"-","Tidak Menular"
"A56.4","Chlamydial infection of pharynx",,,"-","Tidak Menular"
"A56.8","Sexually transmitted chlamydial infection of other sites",,,"-","Tidak Menular"
"A57","Chancroid",,,"-","Tidak Menular"
"A58","Granuloma inguinale",,,"-","Tidak Menular"
"A59","Trichomoniasis",,,"-","Tidak Menular"
"A59.0","Urogenital trichomoniasis",,,"-","Tidak Menular"
"A59.8","Trichomoniasis of other sites",,,"-","Tidak Menular"
"A59.9","Trichomoniasis, unspecified",,,"-","Tidak Menular"
"A60","Anogenital herpesviral [herpes simplex] infection",,,"-","Tidak Menular"
"A60.0","Herpesviral infection of genitalia and urogenital tract",,,"-","Tidak Menular"
"A60.1","Herpesviral infection of perianal skin and rectum",,,"-","Tidak Menular"
"A60.9","Anogenital herpesviral infection, unspecified",,,"-","Tidak Menular"
"A63","Other predominantly sexually transmitted diseases, not elsewhere classified",,,"-","Tidak Menular"
"A63.0","Anogenital (venereal) warts",,,"-","Tidak Menular"
"A63.8","Other specified predominantly sexually transmitted diseases",,,"-","Tidak Menular"
"A64","Unspecified sexually transmitted disease",,,"-","Tidak Menular"
"A65","Nonvenereal syphilis",,,"-","Tidak Menular"
"A66","Yaws",,,"-","Tidak Menular"
"A66.0","Initial lesions of yaws",,,"-","Tidak Menular"
"A66.1","Multiple papillomata and wet crab yaws",,,"-","Tidak Menular"
"A66.2","Other early skin lesions of yaws",,,"-","Tidak Menular"
"A66.3","Hyperkeratosis of yaws",,,"-","Tidak Menular"
"A66.4","Gummata and ulcers of yaws",,,"-","Tidak Menular"
"A66.5","Gangosa",,,"-","Tidak Menular"
"A66.6","Bone and joint lesions of yaws",,,"-","Tidak Menular"
"A66.7","Other manifestations of yaws",,,"-","Tidak Menular"
"A66.8","Latent yaws",,,"-","Tidak Menular"
"A66.9","Yaws, unspecified",,,"-","Tidak Menular"
"A67","Pinta [carate]",,,"-","Tidak Menular"
"A67.0","Primary lesions of pinta",,,"-","Tidak Menular"
"A67.1","Intermediate lesions of pinta",,,"-","Tidak Menular"
"A67.2","Late lesions of pinta",,,"-","Tidak Menular"
"A67.3","Mixed lesions of pinta",,,"-","Tidak Menular"
"A67.9","Pinta, unspecified",,,"-","Tidak Menular"
"A68","Relapsing fevers",,,"-","Tidak Menular"
"A68.0","Louse-borne relapsing fever",,,"-","Tidak Menular"
"A68.1","Tick-borne relapsing fever",,,"-","Tidak Menular"
"A68.9","Relapsing fever, unspecified",,,"-","Tidak Menular"
"A69","Other spirochaetal infections",,,"-","Tidak Menular"
"A69.0","Necrotizing ulcerative stomatitis",,,"-","Tidak Menular"
"A69.1","Other vincent\'s infections",,,"-","Tidak Menular"
"A69.2","Lyme disease",,,"-","Tidak Menular"
"A69.8","Other specified spirochaetal infections",,,"-","Tidak Menular"
"A69.9","Spirochaetal infection, unspecified",,,"-","Tidak Menular"
"A70","Chlamydia psittaci infection",,,"-","Tidak Menular"
"A71","Trachoma",,,"-","Tidak Menular"
"A71.0","Initial stage of trachoma",,,"-","Tidak Menular"
"A71.1","Active stage of trachoma",,,"-","Tidak Menular"
"A71.9","Trachoma, unspecified",,,"-","Tidak Menular"
"A74","Other diseases caused by chlamydiae",,,"-","Tidak Menular"
"A74.0","Chlamydial conjunctivitis",,,"-","Tidak Menular"
"A74.8","Other chlamydial diseases",,,"-","Tidak Menular"
"A74.9","Chlamydial infection, unspecified",,,"-","Tidak Menular"
"A75","Typhus fever",,,"-","Tidak Menular"
"A75.0","Epidemic louse-borne typhus fever due to rickettsia prowazekii",,,"-","Tidak Menular"
"A75.1","Recrudescent typhus [brill\'s disease]",,,"-","Tidak Menular"
"A75.2","Typhus fever due to rickettsia typhi",,,"-","Tidak Menular"
"A75.3","Typhus fever due to rickettsia tsutsugamushi",,,"-","Tidak Menular"
"A75.9","Typhus fever, unspecified",,,"-","Tidak Menular"
"A77","Spotted fever [tick-borne rickettsioses]",,,"-","Tidak Menular"
"A77.0","Spotted fever due to rickettsia rickettsii",,,"-","Tidak Menular"
"A77.1","Spotted fever due to rickettsia conorii",,,"-","Tidak Menular"
"A77.2","Spotted fever due to rickettsia sibirica",,,"-","Tidak Menular"
"A77.3","Spotted fever due to rickettsia australis",,,"-","Tidak Menular"
"A77.8","Other spotted fevers",,,"-","Tidak Menular"
"A77.9","Spotted fever, unspecified",,,"-","Tidak Menular"
"A78","Q fever",,,"-","Tidak Menular"
"A79","Other rickettsioses",,,"-","Tidak Menular"
"A79.0","Trench fever",,,"-","Tidak Menular"
"A79.1","Rickettsialpox due to rickettsia akari",,,"-","Tidak Menular"
"A79.8","Other specified rickettsioses",,,"-","Tidak Menular"
"A79.9","Rickettsiosis, unspecified",,,"-","Tidak Menular"
"A80","Acute poliomyelitis",,,"-","Tidak Menular"
"A80.0","Acute paralytic poliomyelitis, vaccine-associated",,,"-","Tidak Menular"
"A80.1","Acute paralytic poliomyelitis, wild virus, imported",,,"-","Tidak Menular"
"A80.2","Acute paralytic poliomyelitis, wild virus, indigenous",,,"-","Tidak Menular"
"A80.3","Acute paralytic poliomyelitis, other and unspecified",,,"-","Tidak Menular"
"A80.4","Acute nonparalytic poliomyelitis",,,"-","Tidak Menular"
"A80.9","Acute poliomyelitis, unspecified",,,"-","Tidak Menular"
"A81","Atypical virus infections of central nervous system",,,"-","Tidak Menular"
"A81.0","Creutzfeldt-jakob disease",,,"-","Tidak Menular"
"A81.1","Subacute sclerosing panencephalitis",,,"-","Tidak Menular"
"A81.2","Progressive multifocal leukoencephalopathy",,,"-","Tidak Menular"
"A81.8","Other atypical virus infections of central nervous system",,,"-","Tidak Menular"
"A81.9","Atypical virus infection of central nervous system, unspecified",,,"-","Tidak Menular"
"A82","Rabies",,,"-","Tidak Menular"
"A82.0","Sylvatic rabies",,,"-","Tidak Menular"
"A82.1","Urban rabies",,,"-","Tidak Menular"
"A82.9","Rabies, unspecified",,,"-","Tidak Menular"
"A83","Mosquito-borne viral encephalitis",,,"-","Tidak Menular"
"A83.0","Japanese encephalitis",,,"-","Tidak Menular"
"A83.1","Western equine encephalitis",,,"-","Tidak Menular"
"A83.2","Eastern equine encephalitis",,,"-","Tidak Menular"
"A83.3","St louis encephalitis",,,"-","Tidak Menular"
"A83.4","Australian encephalitis",,,"-","Tidak Menular"
"A83.5","California encephalitis",,,"-","Tidak Menular"
"A83.6","Rocio virus disease",,,"-","Tidak Menular"
"A83.8","Other mosquito-borne viral encephalitis",,,"-","Tidak Menular"
"A83.9","Mosquito-borne viral encephalitis, unspecified",,,"-","Tidak Menular"
"A84","Tick-borne viral encephalitis",,,"-","Tidak Menular"
"A84.0","Far east tick-born enceph-russn spring-summ enceph",,,"-","Tidak Menular"
"A84.1","Central european tick-borne encephalitis",,,"-","Tidak Menular"
"A84.8","Other tick-borne viral encephalitis",,,"-","Tidak Menular"
"A84.9","Tick-borne viral encephalitis, unspecified",,,"-","Tidak Menular"
"A85","Other viral encephalitis, not elsewhere classified",,,"-","Tidak Menular"
"A85.0","Enteroviral encephalitis",,,"-","Tidak Menular"
"A85.1","Adenoviral encephalitis",,,"-","Tidak Menular"
"A85.2","Arthropod-borne viral encephalitis, unspecified",,,"-","Tidak Menular"
"A85.8","Other specified viral encephalitis",,,"-","Tidak Menular"
"A86","Unspecified viral encephalitis",,,"-","Tidak Menular"
"A87","Viral meningitis",,,"-","Tidak Menular"
