14,Radiologi,Bone mineral densitometry (BMD) forearm kiri (Z-score),Permintaan & Hasil,80936-8,DXA Radius and Ulna - left [Z-score] Bone density,Views for bone density,Zscore,Pt,Upper extremity.left>Radius+Ulna,Qn,DXA,{Zscore},http://loinc.org,,,
15,Radiologi,Bone mineral densitometry (BMD) forearm kanan (g/cm2),Permintaan & Hasil,80951-7,DXA Radius and Ulna - right [Mass/Area] Bone density,Views for bone density,ArMass,Pt,Upper extremity.right>Radius+Ulna,Qn,DXA,g/cm2,http://loinc.org,,,
16,Radiologi,Bone mineral densitometry (BMD) forearm kanan (T-score),Permintaan & Hasil,80943-4,DXA Radius and Ulna - right [T-score] Bone density,Views for bone density,Tscore,Pt,Upper extremity.right>Radius+Ulna,Qn,DXA,{Tscore},http://loinc.org,,,
17,Radiologi,Bone mineral densitometry (BMD) forearm kanan (Z-score),Permintaan & Hasil,80935-0,DXA Radius and Ulna - right [Z-score] Bone density,Views for bone density,Zscore,Pt,Upper extremity.right>Radius+Ulna,Qn,DXA,{Zscore},http://loinc.org,,,
18,Radiologi,Bone mineral densitometry (BMD) hip (g/cm2),Hasil,38261-4,DXA Hip [Mass/Area] Bone density,Views for bone density,ArMass,Pt,Lower extremity>Hip,Qn,DXA,g/cm2,http://loinc.org,,,
19,Radiologi,Bone mineral densitometry (BMD) hip (T-score),Hasil,38264-8,DXA Hip [T-score] Bone density,Views for bone density,Tscore,Pt,Lower extremity>Hip,Qn,DXA,{T-score},http://loinc.org,,,
20,Radiologi,Bone mineral densitometry (BMD) hip (Z-score),Permintaan & Hasil,80933-5,DXA Hip [Z-score] Bone density,Views for bone density,Zscore,Pt,Lower extremity>Hip,Qn,DXA,{Zscore},http://loinc.org,,,
21,Radiologi,Bone mineral densitometry (BMD) hip kanan (g/cm2),Hasil,46279-6,DXA Hip - right [Mass/Area] Bone density,Views for bone density,ArMass,Pt,Lower extremity.right>Hip,Qn,DXA,g/cm2,http://loinc.org,,,
22,Radiologi,Bone mineral densitometry (BMD) hip kanan (T-score),Permintaan & Hasil,80945-9,DXA Hip - right [T-score] Bone density,Views for bone density,Tscore,Pt,Lower extremity.right>Hip,Qn,DXA,{Tscore},http://loinc.org,,,
23,Radiologi,Bone mineral densitometry (BMD) hip kanan (Z-score),Permintaan & Hasil,80937-6,DXA Hip - right [Z-score] Bone density,Views for bone density,Zscore,Pt,Lower extremity.right>Hip,Qn,DXA,{Zscore},http://loinc.org,,,
24,Radiologi,Bone mineral densitometry (BMD) hip kiri (g/cm2),Hasil,46278-8,DXA Hip - left [Mass/Area] Bone density,Views for bone density,ArMass,Pt,Lower extremity.left>Hip,Qn,DXA,g/cm2,http://loinc.org,,,
25,Radiologi,Bone mineral densitometry (BMD) hip kiri (T-score),Permintaan & Hasil,80946-7,DXA Hip - left [T-score] Bone density,Views for bone density,Tscore,Pt,Lower extremity.left>Hip,Qn,DXA,{Tscore},http://loinc.org,,,
26,Radiologi,Bone mineral densitometry (BMD) hip kiri (Z-score),Permintaan & Hasil,80938-4,DXA Hip - left [Z-score] Bone density,Views for bone density,Zscore,Pt,Lower extremity.left>Hip,Qn,DXA,{Zscore},http://loinc.org,,,
27,Radiologi,Bone mineral densitometry (BMD) bone,Permintaan & Hasil,46383-6,DXA Bone [Mass/Area] Bone density,Views for bone density,ArMass,Pt,XXX>Bone,Qn,DXA,g/cm2,http://loinc.org,,,
28,Radiologi,Bone mineral densitometry (BMD) femur (g/cm2),Hasil,24701-5,DXA Femur [Mass/Area] Bone density,Views for bone density,ArMass,Pt,Lower extremity>Femur,Qn,DXA,g/cm2,http://loinc.org,,,
29,Radiologi,Bone mineral densitometry (BMD) femur (T-score),Hasil,38263-0,DXA Femur [T-score] Bone density,Views for bone density,Tscore,Pt,Lower extremity>Femur,Qn,DXA,{T-score},http://loinc.org,,,
30,Radiologi,Bone mineral densitometry (BMD) femur (Z-score),Permintaan & Hasil,80934-3,DXA Femur [Z-score] Bone density,Views for bone density,Zscore,Pt,Lower extremity>Femur,Qn,DXA,{Zscore},http://loinc.org,,,
31,Radiologi,Bone mineral densitometry (BMD) femur kiri (g/cm2),Permintaan & Hasil,80954-1,DXA Femur - left [Mass/Area] Bone density,Views for bone density,ArMass,Pt,Lower extremity.left>Femur,Qn,DXA,g/cm2,http://loinc.org,,,
32,Radiologi,Bone mineral densitometry (BMD) femur kiri (T-score),Permintaan & Hasil,80948-3,DXA Femur - left [T-score] Bone density,Views for bone density,Tscore,Pt,Lower extremity.left>Femur,Qn,DXA,{Tscore},http://loinc.org,,,
33,Radiologi,Bone mineral densitometry (BMD) femur kiri (Z-score),Permintaan & Hasil,80940-0,DXA Femur - left [Z-score] Bone density,Views for bone density,Zscore,Pt,Lower extremity.left>Femur,Qn,DXA,{Zscore},http://loinc.org,,,
34,Radiologi,Bone mineral densitometry (BMD) femur kanan (g/cm2),Permintaan & Hasil,80953-3,DXA Femur - right [Mass/Area] Bone density,Views for bone density,ArMass,Pt,Lower extremity.right>Femur,Qn,DXA,g/cm2,http://loinc.org,,,
35,Radiologi,Bone mineral densitometry (BMD) femur kanan (T-score),Permintaan & Hasil,80947-5,DXA Femur - right [T-score] Bone density,Views for bone density,Tscore,Pt,Lower extremity.right>Femur,Qn,DXA,{Tscore},http://loinc.org,,,
36,Radiologi,Bone mineral densitometry (BMD) femur kanan (Z-score),Permintaan & Hasil,80939-2,DXA Femur - right [Z-score] Bone density,Views for bone density,Zscore,Pt,Lower extremity.right>Femur,Qn,DXA,{Zscore},http://loinc.org,,,
37,Radiologi,Colonoscopy dengan lower endoscopic ultrasound,Permintaan & Hasil,97100-2,Colonoscopy+US Study,Colonoscopy and endoscopic ultrasound study,Find,Pt,Lower GI tract,Doc,Colonoscopy+US,,http://loinc.org,,,
38,Radiologi,CT abdomen atas dengan kontras IV,Permintaan & Hasil,79103-8,CT Abdomen W contrast IV,Multisection^W contrast IV,Find,Pt,Abdomen,Doc,CT,,http://loinc.org,80581009,Upper abdomen structure,http://snomed.info/sct
39,Radiologi,CT abdomen atas nonkontras,Permintaan & Hasil,36424-0,CT Abdomen WO contrast,Multisection^WO contrast,Find,Pt,Abdomen,Doc,CT,,http://loinc.org,80581009,Upper abdomen structure,http://snomed.info/sct
40,Radiologi,CT abdomen dan pelvis dengan kontras IV,Permintaan & Hasil,36813-4,CT Abdomen and Pelvis W contrast IV,Multisection^W contrast IV,Find,Pt,Abdomen+Pelvis,Doc,CT,,http://loinc.org,,,
41,Radiologi,CT abdomen dan pelvis dengan kontras PO,Permintaan & Hasil,99610-8,CT Abdomen and Pelvis W contrast PO,Multisection^W contrast PO,Find,Pt,Abdomen+Pelvis,Doc,CT,,http://loinc.org,,,
42,Radiologi,CT abdomen dan pelvis nonkontras,Permintaan & Hasil,36952-0,CT Abdomen and Pelvis WO contrast,Multisection^WO contrast,Find,Pt,Abdomen+Pelvis,Doc,CT,,http://loinc.org,,,
43,Radiologi,CT abdomen dan pelvis nonkontras diikuti dengan kontras IV,Permintaan & Hasil,42274-1,CT Abdomen and Pelvis WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Abdomen+Pelvis,Doc,CT,,http://loinc.org,,,
44,Radiologi,CT abdomen dengan kontras IV,Permintaan & Hasil,79103-8,CT Abdomen W contrast IV,Multisection^W contrast IV,Find,Pt,Abdomen,Doc,CT,,http://loinc.org,,,
45,Radiologi,CT abdomen nonkontras,Permintaan & Hasil,36424-0,CT Abdomen WO contrast,Multisection^WO contrast,Find,Pt,Abdomen,Doc,CT,,http://loinc.org,,,
46,Radiologi,CT abdomen tanpa kontras diikuti dengan kontras IV,Permintaan & Hasil,36267-3,CT Abdomen WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Abdomen,Doc,CT,,http://loinc.org,,,
47,Radiologi,CT ankle bilateral nonkontras,Permintaan & Hasil,69087-5,CT Ankle - bilateral WO contrast,Multisection^WO contrast,Find,Pt,Lower extremity.bilateral>Ankle,Doc,CT,,http://loinc.org,,,
48,Radiologi,CT ankle dan pedis dengan kontras IV,Permintaan & Hasil,36135-2,CT Ankle W contrast IV,Multisection^W contrast IV,Find,Pt,Lower extremity>Ankle,Doc,CT,,http://loinc.org,731298009,Entire ankle and foot,http://snomed.info/sct
49,Radiologi,CT ankle dan pedis nonkontras,Permintaan & Hasil,36425-7,CT Ankle WO contrast,Multisection^WO contrast,Find,Pt,Lower extremity>Ankle,Doc,CT,,http://loinc.org,731298009,Entire ankle and foot,http://snomed.info/sct
50,Radiologi,CT ankle nonkontras,Permintaan & Hasil,36425-7,CT Ankle WO contrast,Multisection^WO contrast,Find,Pt,Lower extremity>Ankle,Doc,CT,,http://loinc.org,,,
51,Radiologi,CT antebrachi dengan kontras IV,Permintaan & Hasil,36185-7,CT Forearm W contrast IV,Multisection^W contrast IV,Find,Pt,Upper extremity>Forearm,Doc,CT,,http://loinc.org,,,
52,Radiologi,CT antebrachi nonkontras,Permintaan & Hasil,36472-9,CT Forearm WO contrast,Multisection^WO contrast,Find,Pt,Upper extremity>Forearm,Doc,CT,,http://loinc.org,,,
53,Radiologi,CT antebrachi bilateral nonkontras,Permintaan & Hasil,35998-4,CT Forearm - bilateral,Multisection,Find,Pt,Upper extremity.bilateral>Forearm,Doc,CT,,http://loinc.org,,,
54,Radiologi,CT aorta abdominalis dengan kontras IV,Permintaan & Hasil,36143-6,CT Abdominal Aorta W contrast IV,Multisection^W contrast IV,Find,Pt,Abdomen>Aorta.abdominal,Doc,CT,,http://loinc.org,,,
55,Radiologi,CT aorta thorakalis dan abdominalis dengan kontras IV,Permintaan & Hasil,36142-8,CT Thoracic and abdominal aorta W contrast IV,Multisection^W contrast IV,Find,Pt,Chest>Aorta.thoracic & Abdomen>Aorta.abdominal,Doc,CT,,http://loinc.org,,,
56,Radiologi,CT aorta thorakalis dengan kontras IV,Permintaan & Hasil,24545-6,CT Thoracic Aorta W contrast IV,Multisection^W contrast IV,Find,Pt,Chest>Aorta.thoracic,Doc,CT,,http://loinc.org,,,
57,Radiologi,CT appendicogram dengan kontras IV,Permintaan & Hasil,36145-1,CT Appendix W contrast IV,Multisection^W contrast IV,Find,Pt,Abdomen+Pelvis>Appendix,Doc,CT,,http://loinc.org,,,
58,Radiologi,CT bahu bilateral dengan kontras IV,Permintaan & Hasil,86969-3,CT Shoulder - bilateral W contrast IV,Multisection^W contrast IV,Find,Pt,Upper extremity.bilateral>Shoulder,Doc,CT,,http://loinc.org,,,
59,Radiologi,CT bahu bilateral nonkontras,Permintaan & Hasil,69090-9,CT Shoulder - bilateral WO contrast,Multisection^WO contrast,Find,Pt,Upper extremity.bilateral>Shoulder,Doc,CT,,http://loinc.org,,,
60,Radiologi,CT bahu kontras IV,Permintaan & Hasil,36250-9,CT Shoulder W contrast IV,Multisection^W contrast IV,Find,Pt,Upper extremity>Shoulder,Doc,CT,,http://loinc.org,,,
61,Radiologi,CT bahu nonkontras,Permintaan & Hasil,36524-7,CT Shoulder WO contrast,Multisection^WO contrast,Find,Pt,Upper extremity>Shoulder,Doc,CT,,http://loinc.org,,,
62,Radiologi,CT bone,Permintaan & Hasil,44229-3,CT Bone,Multisection,Find,Pt,XXX>Bone,Doc,CT,,http://loinc.org,,,
63,Radiologi,CT cairan serebrospinal sisternografi dengan kontras IT,Permintaan & Hasil,24734-6,CT Cerebral cisterns W contrast IT,Multisection^W contrast IT,Find,Pt,Head+Neck>Cerebral cisterns,Doc,CT,,http://loinc.org,,,
64,Radiologi,CT cardiac scoring,Permintaan & Hasil,79087-3,CT Heart and Coronary arteries for calcium scoring WO contrast,Multisection for calcium score^WO contrast,Find,Pt,Chest>Heart+Coronary arteries,Doc,CT,,http://loinc.org,,,
65,Radiologi,CT cone beam (CBCT) gigi lengkap,Permintaan & Hasil,99633-0,Cone beam CT Teeth,Multisection,Find,Pt,Head>Teeth,Doc,CT.cone beam,,http://loinc.org,,,
66,Radiologi,CT cone beam (CBCT) satu gigi,Permintaan & Hasil,99633-0,Cone beam CT Teeth,Multisection,Find,Pt,Head>Teeth,Doc,CT.cone beam,,http://loinc.org,,,
67,Radiologi,CT cruris bilateral nonkontras,Permintaan & Hasil,87879-3,CT Lower leg - bilateral WO contrast,Multisection^WO contrast,Find,Pt,Lower extremity.bilateral>Lower leg,Doc,CT,,http://loinc.org,,,
68,Radiologi,CT cruris nonkontras,Permintaan & Hasil,36537-9,CT Lower leg WO contrast,Multisection^WO contrast,Find,Pt,Lower extremity>Lower leg,Doc,CT,,http://loinc.org,,,
69,Radiologi,CT cubiti bilateral nonkontras,Permintaan & Hasil,36444-8,CT Elbow - bilateral WO contrast,Multisection^WO contrast,Find,Pt,Upper extremity.bilateral>Elbow,Doc,CT,,http://loinc.org,,,
70,Radiologi,CT cubiti dengan kontras IV,Permintaan & Hasil,36157-6,CT Elbow W contrast IV,Multisection^W contrast IV,Find,Pt,Upper extremity>Elbow,Doc,CT,,http://loinc.org,,,
71,Radiologi,CT cubiti nonkontras,Permintaan & Hasil,36443-0,CT Elbow WO contrast,Multisection^WO contrast,Find,Pt,Upper extremity>Elbow,Doc,CT,,http://loinc.org,,,
72,Radiologi,CT ekstremitas atas dengan kontras IV,Permintaan & Hasil,30626-6,CT Upper extremity W contrast IV,Multisection^W contrast IV,Find,Pt,Upper extremity,Doc,CT,,http://loinc.org,,,
73,Radiologi,CT ekstremitas atas nonkontras,Permintaan & Hasil,30627-4,CT Upper extremity WO contrast,Multisection^WO contrast,Find,Pt,Upper extremity,Doc,CT,,http://loinc.org,,,
74,Radiologi,CT ekstremitas atas nonkontras diikuti dengan kontras IV,Permintaan & Hasil,36334-1,CT Upper extremity WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Upper extremity,Doc,CT,,http://loinc.org,,,
75,Radiologi,CT ekstremitas bawah dengan kontras IV,Permintaan & Hasil,30624-1,CT Lower extremity W contrast IV,Multisection^W contrast IV,Find,Pt,Lower extremity,Doc,CT,,http://loinc.org,,,
76,Radiologi,CT ekstremitas bawah nonkontras,Permintaan & Hasil,30625-8,CT Lower extremity WO contrast,Multisection^WO contrast,Find,Pt,Lower extremity,Doc,CT,,http://loinc.org,,,
77,Radiologi,CT ekstremitas bawah nonkontras diikuti dengan kontras IV,Permintaan & Hasil,36288-9,CT Lower extremity WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Lower extremity,Doc,CT,,http://loinc.org,,,
78,Radiologi,CT femur bilateral nonkontras,Permintaan & Hasil,87881-9,CT Thigh - bilateral WO contrast,Multisection^WO contrast,Find,Pt,Lower extremity.bilateral>Thigh,Doc,CT,,http://loinc.org,,,
79,Radiologi,CT femur dengan kontras IV,Permintaan & Hasil,36172-5,CT Thigh W contrast IV,Multisection^W contrast IV,Find,Pt,Lower extremity>Thigh,Doc,CT,,http://loinc.org,,,
80,Radiologi,CT femur nonkontras,Permintaan & Hasil,36460-4,CT Thigh WO contrast,Multisection^WO contrast,Find,Pt,Lower extremity>Thigh,Doc,CT,,http://loinc.org,,,
81,Radiologi,CT fossa posterior dengan kontras IV,Permintaan & Hasil,36242-6,CT Posterior fossa W contrast IV,Multisection^W contrast IV,Find,Pt,Head>Posterior fossa,Doc,CT,,http://loinc.org,,,
82,Radiologi,CT fossa posterior nonkontras,Permintaan & Hasil,36517-1,CT Posterior fossa WO contrast,Multisection^WO contrast,Find,Pt,Head>Posterior fossa,Doc,CT,,http://loinc.org,,,
83,Radiologi,CT fossa posterior nonkontras diikuti dengan kontras IV,Permintaan & Hasil,36387-9,CT Posterior fossa WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Head>Posterior fossa,Doc,CT,,http://loinc.org,,,
84,Radiologi,CT genu dengan kontras IV,Permintaan & Hasil,36222-8,CT Knee W contrast IV,Multisection^W contrast IV,Find,Pt,Lower extremity>Knee,Doc,CT,,http://loinc.org,,,
85,Radiologi,CT genu nonkontras,Permintaan & Hasil,36505-6,CT Knee WO contrast,Multisection^WO contrast,Find,Pt,Lower extremity>Knee,Doc,CT,,http://loinc.org,,,
86,Radiologi,CT guidance biopsy jarum nonkontras,Permintaan & Hasil,46290-3,CT Guidance for biopsy of Unspecified body region-- WO contrast,Guidance for percutaneous biopsy^WO contrast,Find,Pt,XXX,Doc,CT,,http://loinc.org,,,
87,Radiologi,CT guidance untuk ablasi dan pemantauan jaringan parenkimal,Permintaan & Hasil,58747-7,CT Guidance for ablation of tissue of Unspecified body region,Guidance for ablation of tissue,Find,Pt,XXX,Doc,CT,,http://loinc.org,,,
88,Radiologi,CT guidance untuk drainase abses perkutan dan penempatan kateter drainase ,Permintaan & Hasil,43444-9,CT Guidance for percutaneous drainage of abscess and placement of drainage catheter of Unspecified body region,Guidance for percutaneous drainage of abscess+placement of drainage catheter,Find,Pt,XXX,Doc,CT,,http://loinc.org,,,
89,Radiologi,CT guidance untuk penempatan jarum ,Permintaan & Hasil,89932-8,CT Guidance for deep placement of needle of Unspecified body region,Guidance for deep placement of needle,Find,Pt,XXX,Doc,CT,,http://loinc.org,,,
90,Radiologi,CT jantung,Permintaan & Hasil,58744-4,CT Heart,Multisection,Find,Pt,Chest>Heart,Doc,CT,,http://loinc.org,,,
91,Radiologi,CT jantung dengan kontras IV,Permintaan & Hasil,79089-9,CT Heart W contrast IV,Multisection^W contrast IV,Find,Pt,Chest>Heart,Doc,CT,,http://loinc.org,,,
92,Radiologi,CT jantung dengan kontras IV untuk penyakit jantung bawaan,Permintaan & Hasil,79088-1,CT Heart for congenital disease W contrast IV,Multisection for congenital disease^W contrast IV,Find,Pt,Chest>Heart,Doc,CT,,http://loinc.org,,,
93,Radiologi,CT jantung nonkontras,Permintaan & Hasil,99612-4,CT Heart WO contrast,Multisection^WO contrast,Find,Pt,Chest>Heart,Doc,CT,,http://loinc.org,,,
94,Radiologi,CT jantung nonkontras dengan pemeriksaan kalsium koroner secara kuantitatif,Permintaan & Hasil,79087-3,CT Heart and Coronary arteries for calcium scoring WO contrast,Multisection for calcium score^WO contrast,Find,Pt,Chest>Heart+Coronary arteries,Doc,CT,,http://loinc.org,,,
95,Radiologi,CT jaringan lunak leher dengan kontras IV,Permintaan & Hasil,36235-0,CT Neck W contrast IV,Multisection^W contrast IV,Find,Pt,Neck,Doc,CT,,http://loinc.org,,,
96,Radiologi,CT jaringan lunak leher nonkontras,Permintaan & Hasil,36514-8,CT Neck WO contrast,Multisection^WO contrast,Find,Pt,Neck,Doc,CT,,http://loinc.org,,,
97,Radiologi,CT jaringan lunak leher nonkontras diikuti dengan kontras IV,Permintaan & Hasil,30586-2,CT Neck WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Neck,Doc,CT,,http://loinc.org,,,
98,Radiologi,CT kepala dengan kontras IV,Permintaan & Hasil,24727-0,CT Head W contrast IV,Multisection^W contrast IV,Find,Pt,Head,Doc,CT,,http://loinc.org,,,
99,Radiologi,CT kepala nonkontras,Permintaan & Hasil,30799-1,CT Head WO contrast,Multisection^WO contrast,Find,Pt,Head,Doc,CT,,http://loinc.org,,,
100,Radiologi,CT kepala nonkontras diikuti dengan kontras IV,Permintaan & Hasil,24726-2,CT Head WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Head,Doc,CT,,http://loinc.org,,,
101,Radiologi,CT kolonografi nonkontras dan diikuti dengan kontras IV dan kontras PR,Permintaan & Hasil,82688-3,CT Colon and Rectum WO and W contrast IV and W air contrast PR,Multisection^WO & W contrast IV+W air contrast PR,Find,Pt,Abdomen+Pelvis>Colon+Rectum,Doc,CT,,http://loinc.org,,,
102,Radiologi,CT kolonografi nonkontras IV diikuti dengan kontras PR,Permintaan & Hasil,79071-7,CT Colon and Rectum WO contrast IV and W air contrast PR,Multisection^WO contrast IV+W air contrast PR,Find,Pt,Abdomen+Pelvis>Colon+Rectum,Doc,CT,,http://loinc.org,,,
103,Radiologi,CT kolonografi skrining non kontras IV dan diikuti dengan kontras PR,Permintaan & Hasil,79069-1,CT Colon and Rectum for screening WO contrast IV and W air contrast PR,Multisection for screening^WO contrast IV+W air contrast PR,Find,Pt,Abdomen+Pelvis>Colon+Rectum,Doc,CT,,http://loinc.org,,,
104,Radiologi,CT manus bilateral nonkontras,Permintaan & Hasil,36004-0,CT Hand - bilateral,Multisection,Find,Pt,Upper extremity.bilateral>Hand,Doc,CT,,http://loinc.org,,,
105,Radiologi,CT manus dengan kontras IV,Permintaan & Hasil,36191-5,CT Hand W contrast IV,Multisection^W contrast IV,Find,Pt,Upper extremity>Hand,Doc,CT,,http://loinc.org,,,
106,Radiologi,CT manus nonkontras,Permintaan & Hasil,36477-8,CT Hand WO contrast,Multisection^WO contrast,Find,Pt,Upper extremity>Hand,Doc,CT,,http://loinc.org,,,
107,Radiologi,CT mastoid high resolution dengan kontras IV,Permintaan & Hasil,87900-7,CT Mastoid W contrast IV,Multisection^W contrast IV,Find,Pt,Head>Mastoid,Doc,CT,,http://loinc.org,,,
108,Radiologi,CT mastoid high resolution nonkontras,Permintaan & Hasil,46298-6,CT Mastoid - bilateral,Multisection,Find,Pt,Head>Mastoid.bilateral,Doc,CT,,http://loinc.org,,,
109,Radiologi,CT mastoid nonkontras,Permintaan & Hasil,46298-6,CT Mastoid - bilateral,Multisection,Find,Pt,Head>Mastoid.bilateral,Doc,CT,,http://loinc.org,,,
110,Radiologi,CT maxilla dan mandibula,Permintaan & Hasil,36049-5,CT Maxilla and Mandible,Multisection,Find,Pt,Head>Maxilla+Mandible,Doc,CT,,http://loinc.org,,,
111,Radiologi,CT maxillofacial dengan kontras IV,Permintaan & Hasil,30801-5,CT Maxillofacial region W contrast IV,Multisection^W contrast IV,Find,Pt,Head>Maxillofacial region,Doc,CT,,http://loinc.org,,,
112,Radiologi,CT maxillofacial nonkontras,Permintaan & Hasil,30802-3,CT Maxillofacial region WO contrast,Multisection^WO contrast,Find,Pt,Head>Maxillofacial region,Doc,CT,,http://loinc.org,,,
113,Radiologi,CT maxillofacial nonkontras diikuti dengan kontras IV,Permintaan & Hasil,30803-1,CT Maxillofacial region WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Head>Maxillofacial region,Doc,CT,,http://loinc.org,,,
114,Radiologi,"CT nasofaring, orofaring, laring dan leher dengan kontras",Permintaan & Hasil,24836-9,CT Nasopharynx and Neck W contrast IV,Multisection^W contrast IV,Find,Pt,Head+Neck>Nasopharynx & Neck,Doc,CT,,http://loinc.org,,,
115,Radiologi,"CT nasofaring, orofaring, laring dan leher nonkontras",Permintaan & Hasil,30585-4,CT Nasopharynx and Neck WO contrast,Multisection^WO contrast,Find,Pt,Head+Neck>Nasopharynx & Neck,Doc,CT,,http://loinc.org,,,
116,Radiologi,CT orbita dan wajah dengan kontras IV,Permintaan & Hasil,46320-8,CT Orbit and Face W contrast IV,Multisection^W contrast IV,Find,Pt,Head>Orbit+Face,Doc,CT,,http://loinc.org,,,
117,Radiologi,CT orbita dan wajah nonkontras,Permintaan & Hasil,86988-3,CT Orbit and Face WO contrast,Multisection^WO contrast,Find,Pt,Head>Orbit+Face,Doc,CT,,http://loinc.org,,,
118,Radiologi,CT orbita dengan kontras IV,Permintaan & Hasil,48449-3,CT Orbit W contrast IV,Multisection^W contrast IV,Find,Pt,Head>Orbit,Doc,CT,,http://loinc.org,,,
119,Radiologi,CT orbita nonkontras,Permintaan & Hasil,46331-5,CT Orbit WO contrast,Multisection^WO contrast,Find,Pt,Head>Orbit,Doc,CT,,http://loinc.org,,,
120,Radiologi,CT orbita nonkontras diikuti dengan kontras IV,Permintaan & Hasil,48451-9,CT Orbit WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Head>Orbit,Doc,CT,,http://loinc.org,,,
121,Radiologi,CT pedis bilateral nonkontras,Permintaan & Hasil,86967-7,CT Foot - bilateral WO contrast,Multisection^WO Contrast,Find,Pt,Lower extremity.bilateral>Foot,Doc,CT,,http://loinc.org,,,
122,Radiologi,CT pedis nonkontras,Permintaan & Hasil,36466-1,CT Foot WO contrast,Multisection^WO contrast,Find,Pt,Lower extremity>Foot,Doc,CT,,http://loinc.org,,,
123,Radiologi,CT pelvis dengan kontras IV,Permintaan & Hasil,24866-6,CT Pelvis W contrast IV,Multisection^W contrast IV,Find,Pt,Pelvis,Doc,CT,,http://loinc.org,,,
124,Radiologi,CT pelvis nonkontras,Permintaan & Hasil,30615-9,CT Pelvis WO contrast,Multisection^WO contrast,Find,Pt,Pelvis,Doc,CT,,http://loinc.org,,,
